transaction_id,timestamp,sender_account,receiver_account,transaction_type,amount_usd,channel,origin_country,destination_country,is_international,is_cash,customer_id,scenario,known_suspicious,annual_income_usd,occupation,expected_monthly_volume_usd,risk_rating,pep_flag,sanctions_flag,adverse_media_flag,amount_vs_expected,RF_STRUCTURING,RF_HIGH_AMOUNT,RF_INTERNATIONAL,RF_PROFILE_MISMATCH,red_flag_count,rule_alert,rule_risk_score,risk_level,alert_id,red_flags,status,analyst_decision,sar_recommendation
TXN00000025,2025-07-23 09:35:00,ACC0002927,ACC0001709,CARD_PAYMENT,1252.9,Online Banking,United Kingdom,United States,1,0,CUST002927,NORMAL,0,40010.38,Construction Worker,2122.13,LOW,0,0,0,17.712,0,0,1,1,2,1,36,MEDIUM,ALT0000001,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000044,2025-08-18 08:57:00,ACC0000996,ACC0004215,ACH,1453.04,Online Banking,Brazil,United States,1,0,CUST000996,NORMAL,0,40095.04,Construction Worker,5457.02,LOW,0,0,0,7.988,0,0,1,1,2,1,36,MEDIUM,ALT0000002,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000045,2025-05-06 05:23:00,ACC0002785,ACC0002091,P2P_TRANSFER,3733.76,Online Banking,India,United States,1,0,CUST002785,NORMAL,0,77315.65,Accountant,5245.19,HIGH,1,0,0,21.355,0,0,1,1,2,1,46,MEDIUM,ALT0000003,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000054,2025-10-01 18:29:00,ACC0003902,ACC0001062,INTERNATIONAL_WIRE,843.25,Online Banking,Canada,United States,1,0,CUST003902,NORMAL,0,26815.39,Doctor,924.72,LOW,0,0,0,27.357,0,0,1,1,2,1,36,MEDIUM,ALT0000004,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000064,2025-08-24 02:00:00,ACC0001919,ACC0003471,CASH_WITHDRAWAL,654.54,Online Banking,United States,Canada,1,1,CUST001919,NORMAL,0,92903.51,Retail Worker,2390.41,LOW,0,0,0,8.215,0,0,1,1,2,1,36,MEDIUM,ALT0000005,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000092,2025-04-06 03:10:00,ACC0001858,ACC0001924,WIRE,1007.2,Online Banking,Mexico,United States,1,0,CUST001858,NORMAL,0,23795.83,Sales Manager,2581.02,LOW,0,0,0,11.707,0,0,1,1,2,1,36,MEDIUM,ALT0000006,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000120,2025-05-03 00:07:00,ACC0003445,ACC0002491,CARD_PAYMENT,1069.73,Mobile App,Canada,Mexico,1,0,CUST003445,NORMAL,0,52179.16,Construction Worker,2335.72,MEDIUM,0,0,1,13.74,0,0,1,1,2,1,46,MEDIUM,ALT0000007,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000134,2025-08-19 06:15:00,ACC0000101,ACC0000871,CASH_DEPOSIT,1046.76,Mobile App,United States,Nigeria,1,1,CUST000101,NORMAL,0,24223.89,Small Business Owner,2833.84,LOW,0,0,0,11.081,0,0,1,1,2,1,36,MEDIUM,ALT0000008,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000140,2025-03-19 18:14:00,ACC0004621,ACC0002724,CARD_PAYMENT,1919.95,Mobile App,Singapore,UAE,1,0,CUST004621,NORMAL,0,36987.1,Student,3859.82,LOW,0,0,0,14.923,0,0,1,1,2,1,36,MEDIUM,ALT0000009,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000146,2025-02-23 11:14:00,ACC0002069,ACC0002245,CASH_DEPOSIT,1334.76,Mobile App,Canada,Nigeria,1,1,CUST002069,NORMAL,0,24684.61,Accountant,3510.98,LOW,0,0,0,11.405,0,0,1,1,2,1,36,MEDIUM,ALT0000010,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000155,2025-04-05 20:12:00,ACC0003393,ACC0002078,WIRE,13965.6,Online Banking,United States,United States,0,0,CUST003393,NORMAL,0,80711.57,Lawyer,6415.83,LOW,0,0,0,65.302,0,1,0,1,2,1,36,MEDIUM,ALT0000011,"High Amount, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000190,2025-12-05 04:38:00,ACC0004594,ACC0002389,WIRE,3507.27,Online Banking,Brazil,United States,1,0,CUST004594,NORMAL,0,97502.53,Student,7107.4,LOW,0,0,0,14.804,0,0,1,1,2,1,36,MEDIUM,ALT0000012,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000195,2025-05-13 06:23:00,ACC0002097,ACC0001322,ACH,478.36,Mobile App,Mexico,Canada,1,0,CUST002097,NORMAL,0,39510.99,Small Business Owner,1638.93,LOW,0,0,0,8.756,0,0,1,1,2,1,36,MEDIUM,ALT0000013,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000204,2025-11-08 11:59:00,ACC0003608,ACC0001344,CARD_PAYMENT,1246.09,Online Banking,Nigeria,Mexico,1,0,CUST003608,NORMAL,0,56790.79,Sales Manager,4514.5,LOW,0,0,0,8.281,0,0,1,1,2,1,36,MEDIUM,ALT0000014,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
